Driver,GridPosition,Year,Stint,EventName,LapNumber,LapTime_in_sec,Sector1Time_in_sec,Sector2Time_in_sec,Sector3Time_in_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TrackTemp,Humidity,Pressure,WindDirection,WindSpeed,nGear,Throttle,DRS,encodedCompound,encodedDriver,encodedEventName
ALB,0.0,2024,1.0,Spanish Grand Prix,18,83.54594444444444,24.37364705882353,33.447722222222225,25.117111111111114,254.22222222222223,258.3333333333333,275.29411764705884,312.0,MEDIUM,39.1,63.0,1001.8,244,2.7,8,100,14,3,0,15
ALB,0.0,2024,2.0,Spanish Grand Prix,25,82.34248,24.8398,32.7394,24.76328,265.2173913043478,266.2,274.625,301.8235294117647,SOFT,39.1,63.0,1001.8,244,2.7,8,100,14,4,0,15
ALB,0.0,2024,3.0,Spanish Grand Prix,22,81.63577272727272,24.716363636363635,32.68640909090909,24.233,267.94736842105266,266.59090909090907,277.77272727272725,298.7,SOFT,39.1,63.0,1001.8,244,2.7,8,100,14,4,0,15
ALB,5.0,2019,1.0,Mexico Grand Prix,14,85.14699999999999,29.99376923076923,32.648357142857144,22.34842857142857,281.6923076923077,274.42857142857144,233.07692307692307,312.5833333333333,MEDIUM,43.4,48.4,781.5,98,1.5,8,100,14,3,0,11
ALB,5.0,2019,2.0,Mexico Grand Prix,30,81.89186666666666,29.378533333333333,31.402966666666664,21.110366666666668,287.4230769230769,284.3666666666667,249.51724137931035,322.55555555555554,MEDIUM,43.4,48.4,781.5,98,1.5,8,100,14,3,0,11
ALB,5.0,2019,3.0,Mexico Grand Prix,27,80.79588888888888,29.12188888888889,30.96751851851852,20.706481481481482,289.69565217391306,287.85185185185185,252.40740740740742,328.0,HARD,43.4,48.4,781.5,98,1.5,8,100,14,0,0,11
ALB,9.0,2024,1.0,British Grand Prix,27,95.0794074074074,30.132884615384615,38.557,26.174925925925926,301.0,254.85185185185185,242.0,311.44444444444446,MEDIUM,28.1,67.0,991.8,226,2.2,8,104,14,3,0,4
ALB,9.0,2024,1.0,Monaco Grand Prix,1,2494.817,,55.498000000000005,,167.0,60.0,,275.0,MEDIUM,49.4,69.0,1019.1,27,1.1,7,100,14,3,0,13
ALB,9.0,2024,2.0,British Grand Prix,11,105.21981818181818,34.851727272727274,41.79481818181819,28.573272727272727,288.1,241.9090909090909,215.6,298.1818181818182,INTERMEDIATE,28.1,67.0,991.8,226,2.2,8,104,14,2,0,4
ALB,9.0,2024,2.0,Monaco Grand Prix,76,80.98406578947369,21.34636842105263,37.62588157894737,22.011815789473683,185.43478260869566,176.82894736842104,255.5921052631579,276.57894736842104,HARD,49.4,69.0,1019.1,27,1.1,7,100,14,0,0,13
ALB,9.0,2024,3.0,British Grand Prix,14,92.206,30.745857142857144,36.63785714285714,24.822285714285716,303.09090909090907,258.92857142857144,250.78571428571428,309.42857142857144,MEDIUM,28.1,67.0,991.8,226,2.2,8,104,14,3,0,4
ALB,10.0,2024,1.0,Belgian Grand Prix,8,112.141875,31.132428571428573,50.4925,30.0065,330.2857142857143,195.5,217.57142857142858,311.0,MEDIUM,42.1,52.0,978.1,217,0.5,8,100,14,3,0,3
ALB,10.0,2024,1.0,Canadian Grand Prix,25,93.86084000000001,27.288249999999998,29.61924,36.40408,210.375,263.96,270.9583333333333,302.24,INTERMEDIATE,21.1,78.0,996.4,179,0.6,8,100,14,2,0,5
ALB,10.0,2024,2.0,Belgian Grand Prix,15,111.21853333333334,32.303,49.269933333333334,29.6456,318.92857142857144,197.4,215.85714285714286,312.5833333333333,MEDIUM,42.1,52.0,978.1,217,0.5,8,100,14,3,0,3
ALB,10.0,2024,2.0,Canadian Grand Prix,19,93.67347368421053,27.448052631578946,29.293526315789475,36.93189473684211,207.27777777777777,269.05263157894734,271.72222222222223,290.94736842105266,INTERMEDIATE,21.1,78.0,996.4,179,0.6,8,100,14,2,0,5
ALB,10.0,2024,3.0,Belgian Grand Prix,21,109.29895238095237,31.552666666666667,48.76609523809523,28.980190476190472,329.8095238095238,199.85714285714286,219.52380952380952,316.85714285714283,HARD,42.1,52.0,978.1,217,0.5,8,100,14,0,0,3
ALB,10.0,2024,3.0,Canadian Grand Prix,9,82.840375,25.0015,26.099,31.739874999999998,241.5,282.75,289.0,324.25,MEDIUM,21.1,78.0,996.4,179,0.6,8,100,14,3,0,5
